# ----------------------------------------
# zeniusnet
# Audience Overview
# 20120701-20150630
# ----------------------------------------

Day Index,Avg. Session Duration
6/18/14,00:12:31
6/19/14,00:15:38
6/20/14,00:17:57
6/21/14,00:19:58
6/22/14,00:11:28
6/23/14,00:08:59
6/24/14,00:08:17
6/25/14,00:10:19
6/26/14,00:10:45
6/27/14,00:10:23
6/28/14,00:11:22
6/29/14,00:11:57
6/30/14,00:13:31
7/1/14,00:10:51
7/2/14,00:12:06
7/3/14,00:12:05
7/4/14,00:10:43
7/5/14,00:11:33
7/6/14,00:10:05
7/7/14,00:09:53
7/8/14,00:08:41
7/9/14,00:10:40
7/10/14,00:10:55
7/11/14,00:10:33
7/12/14,00:09:12
7/13/14,00:08:38
7/14/14,00:08:56
7/15/14,00:08:37
7/16/14,00:07:33
7/17/14,00:10:19
7/18/14,00:09:29
7/19/14,00:08:43
7/20/14,00:11:49
7/21/14,00:10:42
7/22/14,00:11:30
7/23/14,00:09:51
7/24/14,00:09:41
7/25/14,00:12:17
7/26/14,00:11:09
7/27/14,00:10:14
7/28/14,00:09:24
7/29/14,00:11:24
7/30/14,00:10:45
7/31/14,00:11:38
8/1/14,00:12:04
8/2/14,00:11:21
8/3/14,00:09:12
8/4/14,00:09:04
8/5/14,00:08:41
8/6/14,00:08:19
8/7/14,00:08:32
8/8/14,00:07:19
8/9/14,00:07:46
8/10/14,00:09:29
8/11/14,00:08:09
8/12/14,00:07:48
8/13/14,00:07:58
8/14/14,00:07:48
8/15/14,00:07:52
8/16/14,00:08:49
8/17/14,00:09:31
8/18/14,00:07:22
8/19/14,00:07:08
8/20/14,00:07:41
8/21/14,00:07:49
8/22/14,00:07:59
8/23/14,00:09:07
8/24/14,00:10:25
8/25/14,00:08:51
8/26/14,00:08:20
8/27/14,00:08:49
8/28/14,00:08:23
8/29/14,00:08:22
8/30/14,00:08:56
8/31/14,00:10:49
9/1/14,00:08:28
9/2/14,00:08:20
9/3/14,00:08:15
9/4/14,00:08:06
9/5/14,00:07:31
9/6/14,00:08:02
9/7/14,00:09:44
9/8/14,00:08:09
9/9/14,00:07:59
9/10/14,00:08:28
9/11/14,00:07:59
9/12/14,00:07:11
9/13/14,00:08:32
9/14/14,00:10:54
9/15/14,00:08:39
9/16/14,00:08:12
9/17/14,00:08:18
9/18/14,00:08:26
9/19/14,00:08:13
9/20/14,00:09:02
9/21/14,00:10:32
9/22/14,00:08:36
9/23/14,00:07:15
9/24/14,00:04:37
9/25/14,00:07:07
9/26/14,00:07:31
9/27/14,00:08:03
9/28/14,00:10:02
9/29/14,00:08:38
9/30/14,00:08:26
10/1/14,00:06:45
10/2/14,00:07:25
10/3/14,00:07:58
10/4/14,00:09:50
10/5/14,00:11:30
10/6/14,00:09:58
10/7/14,00:09:27
10/8/14,00:09:20
10/9/14,00:08:40
10/10/14,00:08:05
10/11/14,00:07:38
10/12/14,00:08:52
10/13/14,00:08:14
10/14/14,00:08:52
10/15/14,00:09:06
10/16/14,00:08:37
10/17/14,00:08:34
10/18/14,00:08:31
10/19/14,00:10:30
10/20/14,00:08:38
10/21/14,00:08:54
10/22/14,00:08:45
10/23/14,00:08:35
10/24/14,00:08:24
10/25/14,00:10:25
10/26/14,00:10:53
10/27/14,00:08:39
10/28/14,00:08:25
10/29/14,00:08:25
10/30/14,00:06:22
10/31/14,00:06:37
11/1/14,00:07:04
11/2/14,00:09:50
11/3/14,00:07:36
11/4/14,00:08:08
11/5/14,00:07:47
11/6/14,00:07:44
11/7/14,00:08:19
11/8/14,00:09:02
11/9/14,00:11:05
11/10/14,00:09:04
11/11/14,00:09:02
11/12/14,00:09:01
11/13/14,00:08:51
11/14/14,00:08:01
11/15/14,00:08:19
11/16/14,00:10:10
11/17/14,00:08:28
11/18/14,00:07:58
11/19/14,00:08:03
11/20/14,00:07:55
11/21/14,00:07:46
11/22/14,00:07:35
11/23/14,00:09:37
11/24/14,00:08:35
11/25/14,00:09:21
11/26/14,00:08:41
11/27/14,00:08:32
11/28/14,00:08:28
11/29/14,00:09:34
11/30/14,00:12:06
12/1/14,00:10:20
12/2/14,00:09:58
12/3/14,00:10:03
12/4/14,00:09:49
12/5/14,00:09:24
12/6/14,00:09:27
12/7/14,00:11:06
12/8/14,00:09:36
12/9/14,00:08:57
12/10/14,00:09:03
12/11/14,00:08:28
12/12/14,00:08:06
12/13/14,00:08:38
12/14/14,00:08:00
12/15/14,00:07:21
12/16/14,00:08:32
12/17/14,00:09:11
12/18/14,00:10:25
12/19/14,00:11:05
12/20/14,00:10:32
12/21/14,00:12:06
12/22/14,00:12:52
12/23/14,00:13:10
12/24/14,00:13:43
12/25/14,00:12:44
12/26/14,00:12:04
12/27/14,00:12:23
12/28/14,00:12:14
12/29/14,00:13:46
12/30/14,00:14:11
12/31/14,00:14:55
1/1/15,00:15:05
1/2/15,00:14:11
1/3/15,00:13:39
1/4/15,00:13:17
1/5/15,00:11:55
1/6/15,00:10:08
1/7/15,00:09:48
1/8/15,00:09:42
1/9/15,00:09:20
1/10/15,00:10:00
1/11/15,00:09:43
1/12/15,00:08:35
1/13/15,00:08:50
1/14/15,00:08:54
1/15/15,00:08:53
1/16/15,00:09:22
1/17/15,00:10:32
1/18/15,00:11:39
1/19/15,00:10:16
1/20/15,00:10:16
1/21/15,00:09:50
1/22/15,00:09:45
1/23/15,00:10:18
1/24/15,00:10:14
1/25/15,00:11:41
1/26/15,00:10:35
1/27/15,00:10:26
1/28/15,00:10:16
1/29/15,00:10:58
1/30/15,00:10:51
1/31/15,00:11:03
2/1/15,00:12:02
2/2/15,00:11:11
2/3/15,00:10:51
2/4/15,00:10:56
2/5/15,00:11:12
2/6/15,00:11:09
2/7/15,00:11:32
2/8/15,00:12:17
2/9/15,00:10:52
2/10/15,00:10:40
2/11/15,00:11:16
2/12/15,00:10:57
2/13/15,00:09:51
2/14/15,00:09:38
2/15/15,00:11:48
2/16/15,00:10:43
2/17/15,00:11:21
2/18/15,00:10:20
2/19/15,00:12:50
2/20/15,00:11:05
2/21/15,00:11:59
2/22/15,00:13:53
2/23/15,00:11:53
2/24/15,00:11:19
2/25/15,00:09:22
2/26/15,00:08:24
2/27/15,00:08:28
2/28/15,00:10:31
3/1/15,00:12:17
3/2/15,00:11:14
3/3/15,00:11:42
3/4/15,00:11:13
3/5/15,00:10:18
3/6/15,00:09:05
3/7/15,00:10:17
3/8/15,00:11:59
3/9/15,00:10:54
3/10/15,00:11:34
3/11/15,00:11:08
3/12/15,00:11:04
3/13/15,00:10:45
3/14/15,00:12:15
3/15/15,00:14:01
3/16/15,00:11:57
3/17/15,00:10:52
3/18/15,00:11:02
3/19/15,00:11:08
3/20/15,00:10:52
3/21/15,00:13:39
3/22/15,00:13:00
3/23/15,00:11:21
3/24/15,00:11:34
3/25/15,00:11:02
3/26/15,00:10:56
3/27/15,00:10:24
3/28/15,00:10:05
3/29/15,00:12:16
3/30/15,00:11:17
3/31/15,00:11:38
4/1/15,00:11:22
4/2/15,00:11:47
4/3/15,00:14:33
4/4/15,00:13:33
4/5/15,00:13:35
4/6/15,00:10:42
4/7/15,00:10:55
4/8/15,00:11:08
4/9/15,00:10:56
4/10/15,00:12:17
4/11/15,00:13:07
4/12/15,00:11:21
4/13/15,00:11:22
4/14/15,00:11:27
4/15/15,00:10:32
4/16/15,00:10:39
4/17/15,00:10:50
4/18/15,00:11:05
4/19/15,00:11:06
4/20/15,00:10:47
4/21/15,00:11:03
4/22/15,00:11:05
4/23/15,00:10:57
4/24/15,00:10:38
4/25/15,00:11:54
4/26/15,00:12:16
4/27/15,00:11:23
4/28/15,00:11:01
4/29/15,00:10:38
4/30/15,00:11:08
5/1/15,00:12:15
5/2/15,00:11:07
5/3/15,00:10:36
5/4/15,00:08:59
5/5/15,00:09:21
5/6/15,00:10:03
5/7/15,00:11:49
5/8/15,00:11:31
5/9/15,00:09:32
5/10/15,00:11:51
5/11/15,00:11:14
5/12/15,00:12:47
5/13/15,00:14:07
5/14/15,00:15:36
5/15/15,00:13:28
5/16/15,00:15:45
5/17/15,00:14:03
5/18/15,00:13:32
5/19/15,00:14:23
5/20/15,00:13:07
5/21/15,00:12:39
5/22/15,00:14:00
5/23/15,00:15:52
5/24/15,00:16:06
5/25/15,00:15:01
5/26/15,00:14:56
5/27/15,00:15:50
5/28/15,00:15:23
5/29/15,00:16:07
5/30/15,00:18:02
5/31/15,00:18:01
6/1/15,00:17:23
6/2/15,00:17:48
6/3/15,00:16:28
6/4/15,00:16:37
6/5/15,00:16:51
6/6/15,00:17:14
6/7/15,00:18:24
6/8/15,00:15:14
6/9/15,00:06:51
6/10/15,00:08:54
6/11/15,00:11:56
6/12/15,00:12:17
6/13/15,00:12:49
6/14/15,00:06:12
6/15/15,00:05:07
6/16/15,00:04:52
6/17/15,00:05:09
6/18/15,00:06:54
6/19/15,00:08:17
6/20/15,00:08:41
6/21/15,00:08:14
6/22/15,00:06:56
6/23/15,00:06:12
6/24/15,00:07:08
6/25/15,00:06:58
6/26/15,00:07:04
6/27/15,00:06:54
6/28/15,00:07:22
6/29/15,00:07:12
6/30/15,00:07:56
,00:11:32

